IATA,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,ALT_ID
PNS,Pensacola International AirportÂ (Pensacola Gulf Coast Regional Airport),Pensacola,FL,30.47331,-87.18744,14193
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,14.33102,-170.71053,14222
PSC,Tri-Cities Airport,Pasco,WA,46.26468,-119.11903,14252
PSE,Mercedita Airport,Ponce,PR,18.0083,-66.56301,14254
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,56.80165,-132.94528,14256
PSP,Palm Springs International Airport,Palm Springs,CA,33.82922,-116.50625,14262
PUB,Pueblo Memorial Airport,Pueblo,CO,38.28909,-104.49657,14288
PVD,Theodore Francis Green State Airport,Providence,RI,41.724,-71.42822,14307
PWM,Portland International Jetport,Portland,ME,43.64617,-70.30875,14321
RAP,Rapid City Regional Airport,Rapid City,SD,44.04532,-103.05737,14457
RDD,Redding Municipal Airport,Redding,CA,40.50898,-122.2934,14487
RDM,Redmond Municipal AirportÂ (Roberts Field),Redmond,OR,44.25407,-121.14996,14489
RDU,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747,14492
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,45.63119,-89.46745,14520
RIC,Richmond International Airport,Richmond,VA,37.50517,-77.31967,14524
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,41.59422,-109.06519,14543
RNO,Reno/Tahoe International Airport,Reno,NV,39.49858,-119.76806,14570
ROA,Roanoke Regional AirportÂ (Woodrum Field),Roanoke,VA,37.32547,-79.97543,14574
ROC,Greater Rochester International Airport,Rochester,NY,43.11887,-77.67238,14576
ROW,Roswell International Air Center,Roswell,NM,33.30156,-104.53056,14588
RST,Rochester International Airport,Rochester,MN,43.90883,-92.49799,14633
RSW,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517,14635
SAF,Santa Fe Municipal Airport,Santa Fe,NM,35.61678,-106.08814,14674
SAN,San Diego International AirportÂ (Lindbergh Field),San Diego,CA,32.73356,-117.18966,14679
SAT,San Antonio International Airport,San Antonio,TX,29.53369,-98.46978,14683
SAV,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214,14685
SBA,Santa Barbara Municipal AirportÂ (Santa Barbara Airport),Santa Barbara,CA,34.42621,-119.84037,14689
SBN,South Bend International AirportÂ (South Bend Regional),South Bend,IN,41.70895,-86.31847,14696
SBP,San Luis Obispo County Regional AirportÂ (McChesney Field),San Luis Obispo,CA,35.23706,-120.64239,14698
SCC,Deadhorse AirportÂ (Prudhoe Bay Airport),Deadhorse,AK,70.19476,-148.46516,14709
SCE,University Park Airport,State College,PA,40.85121,-77.8463,14711
SDF,Louisville International AirportÂ (Standiford Field),Louisville,KY,38.17439,-85.736,14730
SEA,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,14747
SFO,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,14771
SGF,Springfield-Branson National Airport,Springfield,MO,37.24433,-93.38686,14783
SGU,St. George Regional Airport,St George,UT,37.09058,-113.59306,14794
SHV,Shreveport Regional Airport,Shreveport,LA,32.44663,-93.8256,14814
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,57.04714,-135.3616,14828
SJC,Norman Y. Mineta San JosÃ© International Airport,San Jose,CA,37.36186,-121.92901,14831
SJT,San Angelo Regional AirportÂ (Mathis Field),San Angelo,TX,31.35775,-100.49631,14842
SJU,Luis MuÃ±oz MarÃ­n International Airport,San Juan,PR,18.43942,-66.00183,14843
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,14869
SMF,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077,14893
SMX,Santa Maria Public AirportÂ (Capt G. Allan Hancock Field),Santa Maria,CA,34.89925,-120.45758,14905
